AccountId,AccountName,CurrentTLBU,ProposedTLBU,SBU,Environment,PrimaryProduct
0001-7473-6823,clarivate-converis-dev,Science,Academia and Government,science group,Development,Converis
0025-9791-1808,cpa-unycom-prod,Intellectual Property,Intellectual Property,ip management systems,Production,Unycom
0066-2671-9859,clarivate-ric-prod,Platform & Shared Services,Life Sciences and Healthcare,c3,Production,Research Intelligence Cloud
0084-9597-0321,pqp-pi2-prod,Science-PQ,Life Sciences and Healthcare,life sciences,Production,Pi2 Platform
0089-7167-3290,clarivate-dst-test,not set,Life Sciences and Healthcare,Life Sciences,Test,DST
0089-7167-3729,clarivate-dst-prod,not set,Life Sciences and Healthcare,Life Sciences,Production,DST
0102-9200-8106,cpa-tipms-prod,Intellectual Property,Intellectual Property,ip management systems,Production,TIPMS
0243-8474-0814,pqp-researchresearchbkps-prod,Science-PQ,Academia and Government,science group,Production,Research Professional
0266-7645-7216,clarivate-sing-prod,Content,Life Sciences and Healthcare,singularity platform,Production,Singularity
0269-8758-9317,cpa-fip-dev,Intellectual Property,Intellectual Property,ip management systems,Development,FoundationIP
0349-9234-6476,clarivate-4libs-prod,Academia and Government,it services,cloud enablement,Production,ExL-Shared/Utility
0357-1343-8945,clarivate-graduates-scratch,Corporate,it services,workplace,Development,ITS
0582-6411-8202,clarivate-ftfdemos-prod,not set,Intellectual Property,IP Management Systems,Production,First To File
0582-6427-0539,clarivate-innography-dev,Intellectual Property,Intellectual Property,pisa,Development,Innography
0592-6134-5153,cpa-ftfnovartis-prod,Intellectual Property,Intellectual Property,ip management systems,Production,First To File
0613-1567-3001,pqp-iiivega-prod,Science-PQ,Academia and Government,library workflow solutions,Production,Vega
0633-6144-1654,clarivate-lsdialog-prod,Life Sciences and Healthcare,Life Sciences and Healthcare,life sciences,Production,Dialog Platform
0695-8187-3985,drg-adaptive-dev,Science-HDS,Life Sciences and Healthcare,hds,Development,Optimize
0788-9746-1510,clarivate-wos-dev,Science,Academia and Government,science group,Development,WoS
0805-6127-6248,clarivate-tmv-dev,Intellectual Property,Intellectual Property,brand,Development,TrademarkVision
0809-2501-3017,clarivate-network-prod,Corporate,it services,cloud enablement,Production,Shared Services
0847-7846-0426,pi2-dst-dev,Science-PQ,Life Sciences and Healthcare,life sciences,Development,Pi2 Platform
0860-9525-5968,cpa-dpvideos-dev,Intellectual Property,Intellectual Property,pisa,Development,Innography
0890-5636-0382,clarivate-logging-prod,Corporate,it services,cloud enablement,Production,Centralised Logging Platform
0957-9129-4995,pqp-iiivega-dev,Science-PQ,Academia and Government,library workflow solutions,Development,Vega
0964-2890-8956,cpa-ipx-prod,Intellectual Property,Intellectual Property,patent services,Production,IP-X-Change
1005-5281-3729,cpa-emr-prod,Intellectual Property,Intellectual Property,pisa,Development,IP1D
1108-9300-6365,cpa-ftfsm-prod,Intellectual Property,Intellectual Property,ip management systems,Production,First To File
1117-8214-6005,clarivate-ipcloud-dev,Platform & Shared Services,Life Sciences and Healthcare,c3,Development,C3 ADH
